0.032353,201
0.015844,401
0.011344,601
0.009075,801
0.007244,1001
0.005861,1201
0.004987,1401
0.005316,1601
0.004308,1801
0.004354,2001
0.003532,2201
0.003515,2401
0.003827,2601
0.002556,2801
0.002587,3001
0.002713,3201
0.002733,3401
0.002905,3601
0.002937,3801
0.002923,4001
0.001572,4201
0.001604,4401
0.001656,4601
0.001665,4801
0.001660,5001
0.001763,5201
0.001779,5401
0.001874,5601
0.001881,5801
0.001892,6001
0.001929,6201
0.001940,6401
0.002020,6601
0.002027,6801
0.002019,7001
0.002090,7201
0.002099,7401
0.002185,7601
0.002181,7801
0.002180,8001
0.002273,8201
