0.200254,201
0.097652,401
0.065269,601
0.050242,801
0.040353,1001
0.031205,1201
0.026162,1401
0.026548,1601
0.021539,1801
0.021573,2001
0.016522,2201
0.016672,2401
0.017069,2601
0.011420,2801
0.011470,3001
0.011673,3201
0.011697,3401
0.011865,3601
0.011967,3801
0.012035,4001
0.006140,4201
0.006168,4401
0.006294,4601
0.006338,4801
0.006364,5001
0.006443,5201
0.006526,5401
0.006617,5601
0.006640,5801
0.006680,6001
0.006740,6201
0.006795,6401
0.006914,6601
0.006946,6801
0.006934,7001
0.007079,7201
0.007092,7401
0.007183,7601
0.007158,7801
0.007172,8001
0.007422,8201
